食べる (たべる) | Uống | Ngủ | Đi | Ăn
丁寧 (ていねい) | Thô lỗ | Cẩu thả | Nóng nảy | Lịch sự/Cẩn thận
正確 (せいかく) | Sai lệch | Mơ hồ | Nhầm lẫn | Chính xác
適切 (てきせつ) | Sai lệch | Không phù hợp | Vô lý | Thích hợp
向上心 (こうじょうしん) | Lười biếng | Bỏ cuộc | Tự mãn | Tinh thần cầu tiến
団結 (だんけつ) | Chia rẽ | Cá nhân | Xung đột | Đoàn kết
組織 (そしき) | Cá nhân | Riêng lẻ | Một mình | Tổ chức
一体感 (いったいかん) | Chia rẽ | Cô đơn | Xa cách | Cảm giác đồng lòng
達成感 (たっせいかん) | Thất bại | Buồn chán | Mệt mỏi | Cảm giác thành tựu
やりがい (やりがい) | Vô nghĩa | Mệt mỏi | Chán nản | Đáng làm/Giá trị công việc
自己実現 (じこじつげん) | Che giấu mình | Từ bỏ mình | Quên mình | Khẳng định bản thân
社会貢献 (しゃかいこうけん) | Phá hoại | Ích kỷ | Một mình | Cống hiến xã hội
持続可能 (じぞくかのう) | Tạm thời | Ngắn hạn | Kết thúc | Bền vững
成長 (せいちょう) | Lùi lại | Giữ nguyên | Héo úa | Trưởng thành/Phát triển
発展 (はってん) | Suy thoái | Đứng yên | Kết thúc | Phát triển
繁栄 (はんえい) | Nghèo đói | Suy sụp | Biến mất | Phồn vinh
共存 (きょうぞん) | Tiêu diệt | Một mình | Đối đầu | Cùng tồn tại
感謝 (かんしゃ) | Oán trách | Ghét bỏ | Quên ơn | Cảm ơn
拝啓 (はいけい) | Tạm biệt | Xin lỗi | Cảm ơn | Kính gửi (đầu thư)
敬具 (けいぐ) | Xin chào | Chào buổi sáng | Chào buổi tối | Kính thư (cuối thư)
お疲れ様 (おつかれさま) | Chào buổi sáng | Chúc ngủ ngon | Xin lỗi | Bạn đã vất vả rồi
失礼します (しつれいします) | Xin chào | Cảm ơn | Không có gì | Tôi xin phép/Thất lễ
よろしくお願いします (よろしくおねがいします) | Tạm biệt | Xin lỗi | Đừng làm phiền | Mong được giúp đỡ
ありがとうございます (ありがとうございます) | Xin lỗi | Tạm biệt | Hẹn gặp lại | Xin cảm ơn
